id,latitude,longitude,date_uploaded,sentiment
55107627207,51.528483,-0.06669,1771715195,-0.4
55108767609,51.529024,-0.066583,1771715193,-0.4
55108111715,51.528984,-0.066862,1771683647,-0.4
55108111490,51.52857,-0.070177,1771683647,-0.2
55107934083,51.52883,-0.069544,1771683646,-0.2
55107422036,51.528016,-0.071389,1771664663,-0.4
55102776538,51.525588,-0.08327,1771417403,-0.04
55102837184,51.525588,-0.08327,1771417404,-0.06
55102547526,51.525533,-0.088834,1771416244,-0.05
55100346547,51.523844,-0.075863,1771349698,-0.4
55098387247,51.526768,-0.074983,1771264575,-0.35
55098775569,51.528971,-0.070381,1771232179,-0.4
55097802413,51.515279,-0.082805,1771188329,-0.6
55095974729,51.518216,-0.07979,1771101496,-0.6
55090626001,51.534023,-0.060821,1770842156,-0.2
55090625921,51.534056,-0.060188,1770842156,-0.23
55085274265,51.516754,-0.075434,1770572212,-0.34
55084554745,51.523481,-0.089405,1770540594,-0.05
55084386993,51.523481,-0.089405,1770540596,-0.05
55082390892,51.519411,-0.070617,1770493243,-0.4
53884392044,51.52364,-0.0871,1770457860,-0.2
55079548794,51.526494,-0.077859,1770290790,-0.2
55079489943,51.526494,-0.077859,1770290790,-0.2
55078702813,51.52678,-0.081384,1770240665,-0.2
55078757899,51.523811,-0.086531,1770240665,-0.1
55078863730,51.5238,-0.086623,1770240665,-0.1
55076481046,51.523138,-0.078373,1770141919,-0.2
55076845535,51.522713,-0.077389,1770141918,-0.4
55072173270,51.530339,-0.060414,1769940110,-0.4
55069717372,51.531,-0.061326,1769882028,-0.4
55070615216,51.530052,-0.061562,1769882027,-0.4
55070973665,51.530479,-0.062495,1769882026,-0.4
55070614946,51.530619,-0.061551,1769882026,-0.4
55066120240,51.523123,-0.071486,1769624213,-0.43
55066120240,51.523123,-0.071486,1769624213,-0.43
55065473000,51.532441,-0.061368,1769591930,-0.4
55064743224,51.532516,-0.073709,1769553225,-0.13
55064494856,51.532513,-0.073712,1769553224,-0.07
55063594712,51.532661,-0.073809,1769553224,-0.4
55060332968,51.533525,-0.065,1769355654,-0.03
55059149375,51.532522,-0.073695,1769286039,-0.4
55058972263,51.532572,-0.073823,1769286039,-0.17
55058442055,51.527675,-0.080123,1769253217,-0.08
55058441770,51.525588,-0.08327,1769253212,-0.1
55058088381,51.527675,-0.080123,1769253220,-0.05
55058268903,51.527672,-0.080123,1769253219,-0.08
55057990446,51.527527,-0.077925,1769246529,-0.25
55058241129,51.527511,-0.077956,1769246528,-0.25
55058171148,51.527527,-0.077925,1769246528,-0.25
55057990121,51.527519,-0.077939,1769246528,-0.25
55058171118,51.527497,-0.077925,1769246529,-0.25
55058343890,51.52745,-0.077959,1769246529,-0.25
55058171073,51.527377,-0.077956,1769246530,-0.25
55057086717,51.527352,-0.077953,1769246531,-0.25
55057086687,51.525588,-0.083262,1769246534,-0.3
55057315526,51.52342,-0.071509,1769203232,-1.0
55056160930,51.532713,-0.074448,1769119536,-0.2
55052975565,51.519024,-0.072053,1768956723,-0.4
55048947844,51.518255,-0.074569,1768782473,-0.05
55043954292,51.531343,-0.080362,1768598812,-0.53
55044515340,51.516863,-0.080203,1768570856,-0.2
55039286194,51.524558,-0.079468,1768305227,-0.01
55037502500,51.519679,-0.082869,1768218745,-0.02
55033805800,51.527673,-0.079889,1768053770,-0.15
55033729044,51.527673,-0.079889,1768053771,-0.15
55033666860,51.525811,-0.089459,1768044855,-0.15
55030523550,51.518386,-0.084034,1767873446,-0.29
55027661689,51.525353,-0.078674,1767727570,-0.33
55027592188,51.530145,-0.073792,1767727570,-0.4
51867669014,51.52574,-0.08333,1767712722,-0.16
55026890799,51.526574,-0.076507,1767694344,-0.17
55026637056,51.524505,-0.074275,1767694344,-0.16
55025664270,51.527415,-0.080358,1767629450,-0.06
55025161291,51.528116,-0.080305,1767623654,-0.01
55024065267,51.525588,-0.083248,1767616568,-1.2
55027592188,51.530145,-0.073792,1767727570,-0.4
55026890734,51.524345,-0.076003,1767694344,-0.17
55026890629,51.524058,-0.074822,1767694344,-0.17
55025943033,51.529818,-0.073192,1767645191,-0.4
55025664270,51.527415,-0.080358,1767629450,-0.06
55025161291,51.528116,-0.080305,1767623654,-0.01
55021607223,51.524578,-0.078663,1767460792,-0.46
55021645739,51.52928,-0.069323,1767458982,-0.2
55021523378,51.529486,-0.06867,1767457530,-0.1
55021598279,51.529486,-0.06867,1767457529,-0.07
55021124555,51.533095,-0.061068,1767433668,-0.2
55019107987,51.533641,-0.0803,1767390887,-0.2
55019989996,51.53128,-0.080181,1767390888,-0.1
55019834645,51.525725,-0.065981,1767372794,-0.4
55019833945,51.526755,-0.064714,1767372770,-0.4
55018324740,51.529419,-0.069184,1767300195,-0.4
55017696370,51.533029,-0.061808,1767285209,-0.4
55017696115,51.532535,-0.061358,1767285209,-0.23
55017729030,51.524447,-0.072648,1767278206,-0.4
55017407866,51.523463,-0.072912,1767278209,-0.4
55017728025,51.518241,-0.079825,1767278211,-1.2
55014802293,51.525366,-0.07494,1767135772,-0.4
55012537916,51.525326,-0.076496,1767039615,-0.4
55012795409,51.532535,-0.061358,1767039614,-0.4
55009586738,51.525159,-0.06698,1766913153,-0.4
55008528462,51.524445,-0.0661,1766913153,-0.4
54002927762,51.527686,-0.079814,1766859073,-0.5
55008333301,51.52554,-0.065059,1766858924,-0.4
55007021675,51.520437,-0.071709,1766779543,-0.1
54002927762,51.527686,-0.079814,1766859073,-0.5
55008333301,51.52554,-0.065059,1766858924,-0.4
55008410834,51.523898,-0.060575,1766851535,-0.4
55007968199,51.525733,-0.065531,1766831891,-0.5
55007690758,51.519538,-0.080584,1766820986,-0.01
55002036958,51.529086,-0.06997,1766523816,-0.05
54999536331,51.523702,-0.089877,1766422720,-0.1
54998651242,51.523702,-0.089877,1766422721,-0.1
54998218138,51.523744,-0.086414,1766357108,-0.05
54998307489,51.523827,-0.086614,1766357109,-0.05
54997308689,51.522716,-0.070917,1766318581,-0.07
54992615881,51.532397,-0.079867,1766096265,-0.1
54991809723,51.529525,-0.066314,1766060682,-0.2
