index,gpsTimeValid,date,time,millis,lat,lng,speed_mph,gsr,scr,slope_cps,recovery_s,it_date,it_time,emo_level
97,1,170126,11291800,37023,0,0,0,526,-16.49,0.44,-1,260117,12291800,0.791
98,1,170126,11291900,37401,0,0,0,527,-15.34,3.06,-1,260117,12291900,0.78
99,1,170126,11291900,37781,0,0,0,527,-15.18,0.4,-1,260117,12291900,0.758
100,1,170126,11292000,38158,0,0,0,527,-15.03,0.4,-1,260117,12292000,0.727
101,1,170126,11292000,38565,0,0,0,527,-14.88,0.37,-1,260117,12292000,0.697
102,1,170126,11292000,38943,0,0,0,528,-13.74,3.01,-1,260117,12292000,0.698
103,1,170126,11292100,39322,0,0,0,528,-13.6,0.36,-1,260117,12292100,0.687
104,1,170126,11292100,39700,0,0,0,528,-13.47,0.36,-1,260117,12292100,0.666
105,1,170126,11292100,40081,0,0,0,528,-13.33,0.35,-1,260117,12292100,0.642
106,1,170126,11292200,40464,0,0,0,529,-12.21,2.93,-1,260117,12292200,0.65
107,1,170126,11292200,40842,0,0,0,529,-12.09,0.32,-1,260117,12292200,0.645
108,1,170126,11292300,41220,0,0,0,529,-11.97,0.32,-1,260117,12292300,0.629
109,1,170126,11292300,41599,0,0,0,529,-11.85,0.32,-1,260117,12292300,0.607
110,1,170126,11292300,41977,0,0,0,530,-10.74,2.93,-1,260117,12292300,0.619
111,1,170126,11292400,42356,0,0,0,530,-10.63,0.28,-1,260117,12292400,0.618
112,1,170126,11292400,42737,0,0,0,530,-10.53,0.28,-1,260117,12292400,0.606
113,1,170126,11292400,43115,0,0,0,531,-9.43,2.9,-1,260117,12292400,0.617
114,1,170126,11292500,43493,0,0,0,531,-9.34,0.25,-1,260117,12292500,0.614
115,1,170126,11292500,43869,0,0,0,531,-9.24,0.25,-1,260117,12292500,0.601
116,1,170126,11292600,44247,0,0,0,532,-8.16,2.86,-1,260117,12292600,0.611
117,1,170126,11292600,44625,0,0,0,532,-8.08,0.22,-1,260117,12292600,0.608
118,1,170126,11292600,45004,0,0,0,532,-8,0.21,-1,260117,12292600,0.595
119,1,170126,11292700,45411,0,0,0,532,-7.92,0.2,-1,260117,12292700,0.574
120,1,170126,11292700,45788,0,0,0,533,-6.85,2.84,-1,260117,12292700,0.587
121,1,170126,11292800,46166,0,0,0,533,-6.78,0.18,-1,260117,12292800,0.587
122,1,170126,11292800,46544,0,0,0,534,-5.72,2.8,-1,260117,12292800,0.595
123,1,170126,11292800,46921,0,0,0,534,-5.67,0.15,-1,260117,12292800,0.591
124,1,170126,11292900,47302,0,0,0,534,-5.61,0.15,-1,260117,12292900,0.577
125,1,170126,11292900,47682,0,0,0,534,-5.55,0.15,-1,260117,12292900,0.557
126,1,170126,11292900,48058,0,0,0,534,-5.5,0.15,-1,260117,12292900,0.531
127,1,170126,11293000,48436,0,0,0,535,-4.45,2.76,-1,260117,12293000,0.548
128,1,170126,11293000,48813,0,0,0,536,-3.42,2.74,-1,260117,12293000,0.558
129,1,170126,11293100,49190,0,0,0,536,-3.38,0.09,-1,260117,12293100,0.556
130,1,170126,11293100,49568,0,0,0,536,-3.35,0.09,-1,260117,12293100,0.544
131,1,170126,11293100,49944,0,0,0,537,-2.33,2.72,-1,260117,12293100,0.553
132,1,170126,11293200,50325,0,0,0,537,-2.3,0.06,-1,260117,12293200,0.55
133,1,170126,11293200,50702,0,0,0,537,-2.28,0.06,-1,260117,12293200,0.537
134,1,170126,11293200,51079,0,0,0,537,-2.26,0.06,-1,260117,12293200,0.518
135,1,170126,11293300,51457,0,0,0,538,-1.24,2.68,-1,260117,12293300,0.529
136,1,170126,11293300,51834,0,0,0,539,-0.24,2.66,-1,260117,12293300,0.534
137,1,170126,11293400,52211,0,0,0,539,-0.24,0.01,-1,260117,12293400,0.528
138,1,170126,11293400,52620,0,0,0,539,-0.24,0.01,-1,260117,12293400,0.513
139,1,170126,11293400,52997,0,0,0,540,0.76,2.63,-1,260117,12293400,0.524
140,1,170126,11293500,53374,0,0,0,540,0.75,-0.02,-1,260117,12293500,0.522
141,1,170126,11293500,53754,0,0,0,540,0.74,-0.02,-1,260117,12293500,0.512
142,1,170126,11293600,54131,0,0,0,540,0.73,-0.02,-1,260117,12293600,0.495
143,1,170126,11293600,54509,0,0,0,541,1.72,2.6,-1,260117,12293600,0.515
144,1,170126,11293600,54885,0,0,0,541,1.7,-0.05,-1,260117,12293600,0.521
145,1,170126,11293700,55265,0,0,0,542,2.67,2.56,-1,260117,12293700,0.542
146,1,170126,11293700,55641,0,0,0,542,2.64,-0.07,-1,260117,12293700,0.548
147,1,170126,11293700,56017,0,0,0,542,2.62,-0.07,-1,260117,12293700,0.542
148,1,170126,11293800,56395,0,0,0,542,2.59,-0.07,-1,260117,12293800,0.529
149,1,170126,11293800,56772,0,0,0,543,3.56,2.56,-1,260117,12293800,0.556
150,1,170126,11293800,57148,0,0,0,543,3.52,-0.09,-1,260117,12293800,0.566
151,1,170126,11293899,57529,45.432317,12.357833,0.56,544,4.48,2.51,-1,260117,12293899,0.592
152,1,170126,11293899,57925,45.432317,12.357833,0.56,544,4.43,-0.11,-1,260117,12293899,0.601
153,1,170126,11294000,58323,45.432317,12.357833,0.56,545,5.38,2.38,-1,260117,12294000,0.625
154,1,170126,11294000,58720,45.432317,12.357833,0.31,545,5.32,-0.14,-1,260117,12294000,0.631
155,1,170126,11294000,59118,45.432317,12.357833,0.31,543,3.29,-5.11,-1,260117,12294000,0.686
156,1,170126,11294100,59517,45.432317,12.357831,0.61,540,0.29,-7.53,-1,260117,12294100,0.733
157,1,170126,11294100,59946,45.432317,12.357831,0.61,533,-6.65,-16.16,-1,260117,12294100,0.773
158,1,170126,11294200,60350,45.432316,12.357831,0.61,527,-12.52,-14.54,-1,260117,12294200,0.807
159,1,170126,11294200,60751,45.432316,12.357831,0.56,521,-18.33,-14.5,-1,260117,12294200,0.836
160,1,170126,11294300,61152,45.432317,12.357834,0.56,516,-23.1,-11.89,-1,260117,12294300,0.861
161,1,170126,11294300,61554,45.432317,12.357834,0.91,512,-26.83,-9.28,-1,260117,12294300,0.882
162,1,170126,11294300,61956,45.432317,12.357834,0.91,511,-27.55,-1.8,-1,260117,12294300,0.899
163,1,170126,11294400,62356,45.432323,12.357824,0.91,510,-28.27,-1.79,-1,260117,12294400,0.914
164,1,170126,11294400,62756,45.432323,12.357824,1.24,509,-28.97,-1.77,-1,260117,12294400,0.927
165,1,170126,11294400,63155,45.432323,12.357824,1.24,510,-27.69,3.21,-1,260117,12294400,0.938
166,1,170126,11294500,63555,45.432318,12.357827,1.01,510,-27.42,0.69,-1,260117,12294500,0.947
167,1,170126,11294500,63956,45.432318,12.357827,1.01,508,-29.12,-4.25,-1,260117,12294500,0.955
168,1,170126,11294600,64356,45.432312,12.35783,1.01,506,-30.81,-4.22,-1,260117,12294600,0.962
169,1,170126,11294600,64756,45.432312,12.35783,0.82,506,-30.5,0.77,-1,260117,12294600,0.968
170,1,170126,11294600,65154,45.432312,12.35783,0.82,506,-30.2,0.77,-1,260117,12294600,0.973
171,1,170126,11294700,65554,45.432312,12.357831,0.75,507,-28.91,3.23,-1,260117,12294700,0.977
172,1,170126,11294700,65955,45.432312,12.357831,0.75,508,-27.63,3.19,-1,260117,12294700,0.98
173,1,170126,11294800,66354,45.432312,12.357833,0.75,510,-25.37,5.65,-1,260117,12294800,0.983
174,1,170126,11294800,66753,45.432312,12.357833,0.31,511,-24.13,3.12,-1,260117,12294800,0.986
175,1,170126,11294900,67183,45.43231,12.357836,0.31,513,-21.91,5.17,-1,260117,12294900,0.988
176,1,170126,11294900,67583,45.43231,12.357836,0,514,-20.7,3.02,-1,260117,12294900,0.987
177,1,170126,11294900,67984,45.43231,12.357836,0,516,-18.51,5.45,-1,260117,12294900,0.989
178,1,170126,11295000,68383,45.432309,12.35784,0,517,-17.34,2.95,-1,260117,12295000,0.977
179,1,170126,11295000,68782,45.432309,12.35784,0,519,-15.18,5.4,-1,260117,12295000,0.98
180,1,170126,11295100,69180,45.432307,12.357842,0,521,-13.05,5.36,-1,260117,12295100,0.979
181,1,170126,11295100,69580,45.432307,12.357842,0,521,-12.92,0.33,-1,260117,12295100,0.96
182,1,170126,11295100,69978,45.432307,12.357842,0,521,-12.79,0.32,-1,260117,12295100,0.929
183,1,170126,11295200,70380,45.432307,12.357845,0,519,-14.64,-4.61,-1,260117,12295200,0.935
184,1,170126,11295200,70780,45.432307,12.357845,0,513,-20.44,-14.48,-1,260117,12295200,0.944
185,1,170126,11295300,71181,45.432306,12.357846,0,508,-25.18,-11.83,-1,260117,12295300,0.953
186,1,170126,11295300,71583,45.432306,12.357846,0,505,-27.9,-6.76,-1,260117,12295300,0.96
187,1,170126,11295300,71982,45.432306,12.357846,0,504,-28.61,-1.78,-1,260117,12295300,0.966
188,1,170126,11295400,72386,45.432305,12.357848,0,503,-29.32,-1.74,-1,260117,12295400,0.971
189,1,170126,11295400,72786,45.432305,12.357848,0,504,-28.03,3.21,-1,260117,12295400,0.975
190,1,170126,11295500,73185,45.432307,12.357851,0,506,-25.77,5.66,-1,260117,12295500,0.979
191,1,170126,11295500,73585,45.432307,12.357851,0,507,-24.52,3.12,-1,260117,12295500,0.982
