id,latitude,longitude,date_uploaded,sentiment
55108509501,51.529144,-0.066229,1771715194,0.2
55108418159,51.525588,-0.083267,1771701107,0.2
55107273807,51.525588,-0.083267,1771701108,0.6
55108539695,51.525588,-0.083267,1771701107,0.6
55108361248,51.525588,-0.083267,1771701111,0.6
55108417944,51.525588,-0.083267,1771701110,0.6
55107934568,51.529591,-0.069941,1771683647,0.1
55108045900,51.5177,-0.071017,1771679619,0.35
55107685749,51.518076,-0.087751,1771665178,1.2
55106533112,51.53116,-0.069705,1771664664,0.4
55104365158,51.515526,-0.081764,1771493660,1.2
55104157651,51.519078,-0.083148,1771493661,1.2
55103476816,51.5311,-0.0898,1771452576,1.0
55103360908,51.518606,-0.084277,1771440071,0.29
55103253098,51.532346,-0.07638,1771436014,0.27
55103253118,51.532346,-0.07638,1771436014,0.4
55103253073,51.532346,-0.07638,1771436015,1.02
55103313199,51.532346,-0.07638,1771436014,0.3
55102989038,51.527655,-0.080117,1771427496,0.69
55101904172,51.527663,-0.080125,1771427496,0.69
55102837469,51.526294,-0.083562,1771417396,0.7
55102776408,51.530122,-0.083323,1771417407,0.2
53680112004,51.519393,-0.074268,1771364040,0.03
55100346757,51.523577,-0.076657,1771349699,0.25
49839837423,51.525732,-0.08323,1771346020,0.95
55097869539,51.51545,-0.082489,1771188329,0.2
55097245016,51.533029,-0.06169,1771176190,0.6
55096911994,51.526314,-0.086045,1771151360,0.2
55096108499,51.517749,-0.083591,1771108363,0.22
55096108504,51.517749,-0.083591,1771108362,0.22
55092523895,51.524147,-0.075039,1770916945,0.29
55090928575,51.515433,-0.079426,1770835935,0.25
55089741401,51.518166,-0.089017,1770797658,0.4
4144417608,51.525895,-0.083569,1770772320,1.35
55088198711,51.522542,-0.086817,1770721455,0.33
55088406503,51.522589,-0.086882,1770721454,0.33
55086987357,51.531238,-0.076956,1770699505,0.02
55086987287,51.531288,-0.075992,1770699500,0.02
55088139744,51.531166,-0.075967,1770699500,0.02
55088139719,51.530075,-0.074317,1770699499,0.02
55086987257,51.531333,-0.076131,1770699498,0.02
55088242390,51.531313,-0.076056,1770699498,0.02
55088139714,51.53035,-0.073973,1770699498,0.02
55088242340,51.531161,-0.076025,1770699494,0.02
55086987202,51.531158,-0.076009,1770699493,0.02
55087019731,51.530036,-0.074348,1770661665,0.02
55087114538,51.523347,-0.075214,1770658165,0.26
55084445579,51.523481,-0.089405,1770540593,0.2
55084445559,51.523481,-0.089405,1770540594,0.2
55084445524,51.523481,-0.089405,1770540595,0.2
55084386948,51.523481,-0.089405,1770540599,0.2
55084445429,51.523481,-0.089405,1770540598,0.2
55084197900,51.515546,-0.069007,1770517522,0.12
4142599835,51.525537,-0.083634,1770380441,0.52
55080030635,51.518998,-0.076442,1770308926,0.2
55073568745,51.517847,-0.083059,1769992610,0.06
55072304217,51.517847,-0.083059,1769992612,1.6
55069105808,51.525913,-0.087096,1769792147,0.1
55065780165,51.524097,-0.0895,1769610704,0.58
55069105808,51.525913,-0.087096,1769792147,0.1
55065739418,51.527315,-0.078266,1769615941,0.2
55065780165,51.524097,-0.0895,1769610704,0.58
55064494851,51.532627,-0.073842,1769553225,0.12
55064743189,51.532627,-0.073842,1769553226,0.1
55060155631,51.534119,-0.063695,1769355654,0.07
55058315259,51.526188,-0.084431,1769251880,0.2
55057130727,51.527683,-0.080098,1769249288,0.3
55058240974,51.525588,-0.083262,1769246532,2.0
55058343735,51.525588,-0.083262,1769246534,1.3
55057086612,51.525588,-0.083262,1769246535,1.3
55057066982,51.527605,-0.080125,1769244281,0.95
55057066507,51.527652,-0.080131,1769244281,0.95
55055291770,51.525631,-0.083279,1769081652,0.54
55055198159,51.527106,-0.078215,1769081654,1.8
54356239405,51.5276,-0.080148,1768990560,0.37
54321002398,51.527737,-0.079804,1768990684,0.37
4239509472,51.527641,-0.080087,1768927687,0.27
55051493264,51.526748,-0.077837,1768900591,0.16
55051307358,51.524465,-0.0717,1768892655,0.04
55050846755,51.53243,-0.079848,1768861993,0.5
55050759749,51.532413,-0.079834,1768861994,0.5
55048572497,51.520088,-0.089375,1768825268,1.5
55049610020,51.518504,-0.082075,1768815245,1.2
55048332727,51.525301,-0.085222,1768814496,0.13
55048381778,51.527636,-0.08332,1768813080,0.62
48191339176,51.525685,-0.083262,1768812606,0.2
48190779381,51.525685,-0.083262,1768812801,0.1
55046935369,51.524463,-0.076503,1768692302,0.4
55046348480,51.532588,-0.081571,1768665853,0.32
55045689291,51.526652,-0.081953,1768651242,0.2
55043984362,51.531499,-0.076668,1768600344,0.1
55045213820,51.532238,-0.077378,1768600218,0.1
55045130369,51.533039,-0.077486,1768599966,0.1
55045045423,51.534,-0.077185,1768599577,0.1
55045125924,51.534,-0.077185,1768599576,0.1
55045178545,51.534267,-0.08064,1768598513,0.1
55044843491,51.534267,-0.08064,1768598152,0.1
55043924657,51.533786,-0.080125,1768597633,0.1
55044818586,51.534,-0.080575,1768597633,0.1
55045000673,51.533479,-0.080232,1768597632,0.13
55043924652,51.532785,-0.080275,1768597632,0.1
55044770416,51.530636,-0.07946,1768595196,0.07
55045108370,51.530636,-0.07946,1768595196,0.07
55044952853,51.530636,-0.07946,1768595198,0.35
55045004214,51.530035,-0.079503,1768593986,0.07
55044996539,51.53264,-0.080649,1768593750,0.25
55044915078,51.53262,-0.081272,1768593751,0.07
55044733411,51.532353,-0.080317,1768593750,0.07
55043811267,51.527165,-0.080189,1768592664,0.1
55044699336,51.526618,-0.077121,1768592356,0.1
55043800797,51.526346,-0.076369,1768592198,0.13
55044952334,51.526112,-0.081025,1768591940,0.1
55043794172,51.526086,-0.081958,1768591940,0.1
55044864623,51.525658,-0.083299,1768591782,0.1
55044674666,51.52471,-0.080338,1768591365,0.1
55043779967,51.52332,-0.083923,1768591364,0.07
55043750377,51.523656,-0.08861,1768590098,0.1
55044638966,51.523682,-0.086894,1768589891,0.1
55044586206,51.523836,-0.086776,1768588001,0.1
55044925380,51.523836,-0.086776,1768588002,0.1
55043692312,51.523836,-0.086776,1768588002,0.1
55043538979,51.5329,-0.079817,1768516415,0.2
55041500812,51.518844,-0.079704,1768474806,1.2
55042401386,51.515593,-0.080391,1768474805,0.8
55041317541,51.52058,-0.088759,1768413116,0.2
55039726207,51.52839,-0.071067,1768382395,0.3
55039884214,51.526167,-0.078148,1768330381,0.86
55039969340,51.527282,-0.078685,1768330380,0.2
55039244508,51.526902,-0.087945,1768307108,0.17
51378125310,51.520895,-0.074706,1768273320,0.27
55037344122,51.532586,-0.073934,1768258451,0.35
55038205548,51.523851,-0.077859,1768249979,0.53
55038066908,51.516955,-0.087142,1768243934,0.33
55038066933,51.516911,-0.087142,1768243933,0.33
55038222150,51.5178,-0.084209,1768243723,0.33
55038222155,51.5178,-0.084209,1768243723,0.33
55037666691,51.526902,-0.087945,1768236580,0.2
